Nazwa Gminy; Liczba Hexagonów
Nagłowice;3;22;161;1127;7893
Sędziszów;4;31;207;1472;10255
Imielno;2;20;141;983;6879
Bieliny;4;17;130;878;6168
Mniów;2;19;135;947;6660
Końskie;7;52;358;2521;17622
Stąporków;8;48;334;2348;16406
Ożarów;6;37;260;1841;12892
Klimontów;3;21;144;1026;7167
Wilczyce;1;15;96;676;4753
Pińczów;5;42;306;2151;15030
Osiek;4;27;181;1268;8842
Waśniów;4;24;157;1109;7767
Złota;2;15;113;793;5551
Sandomierz;1;5;38;262;1893
Samborzec;4;17;119;843;5904
Giżycko;0;2;20;144;1010
Pasłęk;9;61;407;2833;19821
Kluczewsko;4;29;201;1394;9712
Iława;0;4;30;222;1529
Barczewo;8;66;482;3384;23702
Bisztynek;6;45;311;2186;15359
Grunwald;6;36;270;1913;13335
Ostróda;0;2;19;137;952
Olsztyn;3;18;131;919;6433
Pozezdrze;6;38;278;1940;13553
Lelkowo;6;44;306;2135;14913
Działdowo;0;1;15;118;828
Braniewo;10;76;518;3617;25313
Margonin;4;26;188;1313;9219
Drawsko;4;34;245;1710;12005
Połajewo;5;31;214;1505;10511
Włoszakowice;3;26;188;1308;9148
Rydzyna;5;28;195;1394;9771
Czajków;1;14;101;729;5109
Kaczory;7;33;234;1637;11426
Piła;3;22;154;1080;7582
Wysoka;4;26;189;1324;9259
Ujście;4;24;182;1312;9210
Kleszczewo;1;14;109;766;5361
Obrzycko;4;25;174;1205;8446
Swarzędz;4;21;149;1058;7412
Miejska Górka;4;22;156;1085;7608
Skoki;7;43;299;2072;14525
Krajenka;5;42;295;2054;14383
Wilczyn;2;18;125;880;6173
Sompolno;5;29;204;1427;9973
Dąbie;3;26;189;1341;9390
Stawiszyn;2;15;115;791;5539
Trzcinica;2;16;107;755;5291
Kłodawa;4;29;192;1320;9267
Kazimierz Biskupi;3;22;155;1091;7617
Zakrzewo;4;35;241;1684;11798
Zduny;3;18;126;872;6068
Kłobuck;3;26;188;1309;9169
Koźmin Wielkopolski;5;32;225;1581;11079
Wielowieś;4;23;166;1154;8093
Kuźnia Raciborska;3;25;180;1260;8798
Kornowac;1;6;35;248;1741
Żarki;2;19;146;1001;7030
Włodowice;2;15;109;767;5371
Żarnowiec;3;25;173;1223;8570
Miedzna;4;24;172;1203;8420
Korytnica;6;36;264;1870;13046
Racławice;1;12;85;596;4169
Pcim;3;19;124;868;6076
Janikowo;4;20;138;956;6693
Rymań;3;30;228;1598;11232
Biesiekierz;3;25;184;1284;8972
Janowiec;2;15;111;766;5350
Końskowola;3;19;131;904;6360
Puławy;5;36;236;1663;11600
Liniewo;5;24;170;1191;8304
Zapolice;3;19;119;827;5804
Galewice;3;28;196;1380;9656
Skołyszyn;2;15;106;768;5384
Wojaszówka;2;16;119;821;5754
Wojcieszów;1;5;46;328;2291
Złotoryja;1;3;15;109;770
