Nazwa Gminy; Liczba Hexagonów
Nagłowice;262
Sędziszów;336
Imielno;224
Bieliny;204
Mniów;219
Końskie;588
Stąporków;546
Ożarów;424
Klimontów;231
Wilczyce;153
Pińczów;492
Osiek;201
Waśniów;259
Złota;181
Sandomierz;61
Samborzec;193
Giżycko;766
Pasłęk;718
Kluczewsko;322
Iława;1138
Barczewo;834
Bisztynek;534
Grunwald;470
Ostróda;1069
Olsztyn;257
Pozezdrze;462
Lelkowo;537
Działdowo;710
Braniewo;31
Margonin;340
Drawsko;443
Połajewo;385
Włoszakowice;328
Rydzyna;348
Czajków;177
Kaczory;420
Piła;284
Wysoka;340
Ujście;339
Kleszczewo;193
Obrzycko;8
Swarzędz;268
Miejska Górka;268
Skoki;527
Krajenka;534
Wilczyn;221
Sompolno;358
Dąbie;464
Stawiszyn;193
Trzcinica;183
Kłodawa;660
Kazimierz Biskupi;264
Zakrzewo;205
Zduny;315
Kłobuck;313
Koźmin Wielkopolski;394
Wielowieś;271
Kuźnia Raciborska;298
Kornowac;57
Żarki;236
Włodowice;180
Żarnowiec;280
Miedzna;282
Korytnica;437
Racławice;138
Pcim;197
Janikowo;237
Rymań;438
Biesiekierz;345
Janowiec;176
Końskowola;209
Puławy;114
Liniewo;305
Zapolice;199
Galewice;332
Skołyszyn;172
Wojaszówka;183
Wojcieszów;80
Złotoryja;367
Kruszwica;688
Pakość;230
Rojewo;316
Bobrowniki;127
Boleszkowice;363
Nowogródek Pomorski;410
Ulan-Majorat;252
Nowodwór;177
Stężyca;465
Świdnik;41
Głowno;253
Rogów;164
Garwolin;333
Borowie;193
Żelechów;207
Horyniec-Zdrój;434
Wąsosz;304
Lipiany;273
Kozielice;261
Darłowo;57
Tomaszów Lubelski;378
Rachanie;205
Potęgowo;670
Główczyce;930
Kobylnica;712
Huszlew;284
Łosice;288
Goszczyn;134
Błędów;323
Czarna;330
Wolbrom;335
Sucha Beskidzka;65
Wądroże Wielkie;228
Wielgie;342
Tłuchowo;256
Jeziora Wielkie;324
Radziejów;240
Chociwel;468
Ińsko;438
Urszulin;393
Radecznica;245
Starogard Gdański;68
Zblewo;389
Tczew;63
Szelków;274
Mińsk Mazowiecki;274
Stanisławów;258
Sulejówek;42
Gniewoszów;188
Łańcut;45
Rzepiennik Strzyżewski;158
Kłodzko;57
Tuczno;703
Chełm;493
Zamość;436
Brody;368
Linia;345
Mława;92
Harasiuki;386
Wojnicz;179
Ruja;183
Więcbork;645
Drzycim;297
Dobra;331
Radowo Małe;510
Terespol;338
Lipinki Łużyckie;229
Zakroczym;174
Czerwin;428
Krzywcza;204
Tomice;95
Lwówek Śląski;609
Warlubie;549
Gostycyn;369
Biała Podlaska;115
Wisznice;401
Sławatycze;168
Piszczac;399
Rossosz;178
Buczek;227
Zaręby Kościelne;218
Józefów;280
Celestynów;210
Kuczbork-Osada;316
Puszcza Mariańska;350
Choroszcz;401
Tuchola;662
Chodecz;312
Goraj;144
Turobin;360
Santok;468
Gubin;44
Bytnica;567
Witonia;147
Lesznowola;170
Bodzanów;341
Chmielnik;325
Trzebownisko;194
Łapy;312
Poświętne;340
Lubraniec;387
Częstochowa;376
Międzyrzecz;855
Bytom Odrzański;134
Ośno Lubuskie;551
Rzgów;269
Paradyż;193
Opoczno;445
Sławno;842
Załuski;279
Gogolin;240
Zdzieszowice;132
Przemków;276
Borów;244
Jasienica;211
Wilamowice;133
Werbkowice;409
Dzwola;451
Fajsławice;160
Słubice;239
Zwierzyn;283
Słońsk;441
Rząśnia;208
Pruszków;44
Wiśniowa;154
Hajnówka;51
Jaworzyna Śląska;169
Dębowiec;190
Annopol;337
Gorzków;220
Rudnik;175
Skąpe;493
Łagów;258
Bojadła;282
Babimost;247
Czarnocin;150
Moszczenica;86
Rozprza;396
Poddębice;564
Borkowice;202
Klwów;198
Rusinów;199
Dobrodzień;386
Iwkowa;99
Mońki;406
Boguszów-Gorce;64
Kamienica Polska;110
Michów;313
Ostrówek;245
Czerwieńsk;526
Gomunice;152
Lgota Wielka;153
Radomsko;120
Jastrzębia;209
Ozimek;307
Babice;123
Mędrzechów;99
Perlejewo;259
Wołów;832
Długołęka;531
Krzęcin;387
Czarna Dąbrówka;858
Brąszewice;260
Wolanów;193
Mordy;407
Siedlce;68
Leśnica;225
